"Masseinheit";"Leistung";"Geschlecht";"Altersklasse";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"51-55 Jahre";4112.92;4211.59;4197.37;4460.85;4700.03;4998.93;5282.36;5683.21;5669.73;5724.32;5630.11
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"56-60 Jahre";4211.53;4277.23;4572.89;4764.95;4958.55;5240.48;5535.56;5620.75;5753.53;5915.96;6054.12
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"61-65 Jahre";4774.25;4806.05;4973.00;5075.63;5172.77;5326.93;5571.47;5667.15;5730.00;5901.50;6039.51
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"66-70 Jahre";4751.95;5001.79;5485.53;5722.72;5892.50;6084.32;6281.41;6065.65;5977.99;6059.51;6054.89
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"71-75 Jahre";4660.41;4737.25;5011.93;5357.09;5687.42;6111.39;6491.04;6763.64;6856.50;7044.98;7013.33
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"76-80 Jahre";5034.58;5133.87;5464.39;5635.01;5794.94;6025.67;6230.99;6260.40;6455.74;6784.31;7029.63
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"81-85 Jahre";5005.86;5178.37;5394.48;5560.66;5745.09;5973.38;6144.58;6261.05;6343.62;6455.57;6489.92
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"86-90 Jahre";4314.96;4564.76;4733.99;4868.89;4988.74;5184.18;5347.64;5516.54;5646.00;5838.97;5913.65
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"91-95 Jahre";2127.66;2405.50;2591.80;2835.82;2981.56;3158.84;3220.30;3336.68;3424.02;3556.75;3682.69
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"96 und mehr Jahre";796.41;878.25;877.14;908.56;940.95;954.46;1014.11;1111.04;1170.41;1263.13;1335.12
"Absolutwert";"Leistung - Total";"Mann";"Altersklasse - Total";26478.04;27198.72;28344.85;29640.21;30743.35;32222.54;33638.65;34561.92;34919.41;36042.62;36853.59
"Absolutwert";"Leistung - Total";"Mann";"0-5 Jahre";577.19;589.53;623.51;656.94;668.95;695.83;736.44;760.89;766.09;781.39;759.87
"Absolutwert";"Leistung - Total";"Mann";"6-10 Jahre";422.43;436.86;453.08;472.66;499.49;512.58;541.25;548.55;549.07;578.71;548.79
"Absolutwert";"Leistung - Total";"Mann";"11-15 Jahre";618.31;628.31;626.72;647.54;669.04;688.98;706.53;696.31;652.98;725.22;885.66
"Absolutwert";"Leistung - Total";"Mann";"16-20 Jahre";920.26;930.41;952.85;969.37;1014.55;1046.19;1088.64;1126.02;1150.49;1157.73;1268.52
"Absolutwert";"Leistung - Total";"Mann";"21-25 Jahre";832.65;868.64;926.21;954.60;987.41;1004.73;1049.19;1050.10;1055.69;1067.72;1032.12
"Absolutwert";"Leistung - Total";"Mann";"26-30 Jahre";898.96;926.56;998.04;1023.28;1062.07;1111.69;1175.89;1156.01;1174.60;1219.32;1239.04
"Absolutwert";"Leistung - Total";"Mann";"31-35 Jahre";1021.02;1043.83;1125.61;1173.69;1209.97;1251.87;1311.94;1339.80;1350.17;1397.65;1441.67
"Absolutwert";"Leistung - Total";"Mann";"36-40 Jahre";1329.58;1293.32;1214.94;1243.17;1249.18;1279.92;1355.64;1453.21;1462.35;1536.04;1551.68
"Absolutwert";"Leistung - Total";"Mann";"41-45 Jahre";1615.37;1592.70;1513.62;1547.11;1559.16;1579.01;1600.07;1615.40;1581.82;1638.67;1637.58
"Absolutwert";"Leistung - Total";"Mann";"46-50 Jahre";1759.96;1808.83;1840.87;1895.64;1912.81;1970.47;2012.47;2118.08;2055.43;2076.67;2018.59
"Absolutwert";"Leistung - Total";"Mann";"51-55 Jahre";1940.53;1986.33;1981.96;2098.15;2211.77;2370.09;2507.66;2686.92;2671.73;2684.36;2655.41
"Absolutwert";"Leistung - Total";"Mann";"56-60 Jahre";2064.49;2103.48;2242.40;2354.49;2461.10;2611.52;2756.16;2780.39;2849.22;2912.06;3015.47
"Absolutwert";"Leistung - Total";"Mann";"61-65 Jahre";2379.79;2387.98;2495.41;2552.50;2622.61;2703.40;2826.73;2876.47;2923.38;3010.17;3135.05
"Absolutwert";"Leistung - Total";"Mann";"66-70 Jahre";2317.03;2447.26;2682.94;2824.28;2924.78;3016.35;3123.85;3035.35;2989.14;3049.35;3086.91
"Absolutwert";"Leistung - Total";"Mann";"71-75 Jahre";2161.55;2212.93;2350.96;2547.97;2725.74;2957.47;3147.54;3324.26;3403.03;3497.57;3534.25
"Absolutwert";"Leistung - Total";"Mann";"76-80 Jahre";2115.71;2189.06;2336.29;2430.69;2526.15;2674.11;2750.81;2816.29;2932.28;3117.46;3286.75
"Absolutwert";"Leistung - Total";"Mann";"81-85 Jahre";1722.66;1821.92;1930.58;2053.84;2156.52;2292.81;2379.96;2465.54;2527.83;2585.97;2635.70
"Absolutwert";"Leistung - Total";"Mann";"86-90 Jahre";1177.95;1249.29;1319.10;1395.54;1442.65;1558.63;1633.02;1710.08;1783.42;1888.98;1947.09
"Absolutwert";"Leistung - Total";"Mann";"91-95 Jahre";467.76;534.15;582.90;642.99;678.89;730.32;754.81;802.18;830.15;882.07;924.29
"Absolutwert";"Leistung - Total";"Mann";"96 und mehr Jahre";134.85;147.34;146.86;155.77;160.52;166.55;180.07;200.06;210.55;235.52;249.13
"Absolutwert";"Leistung - Total";"Frau";"Altersklasse - Total";36086.94;37043.97;38167.59;39477.83;40685.88;42162.10;43816.58;45081.09;45322.42;46429.24;46457.17
"Absolutwert";"Leistung - Total";"Frau";"0-5 Jahre";481.10;492.29;519.12;544.53;564.57;590.39;613.69;636.96;654.15;664.81;699.38
"Absolutwert";"Leistung - Total";"Frau";"6-10 Jahre";319.51;326.86;338.41;360.90;369.27;389.15;417.22;430.95;435.48;451.57;456.81
"Absolutwert";"Leistung - Total";"Frau";"11-15 Jahre";549.39;548.15;560.85;582.58;605.28;629.10;660.79;610.06;604.27;643.95;688.50
"Absolutwert";"Leistung - Total";"Frau";"16-20 Jahre";1034.12;1036.23;1052.46;1062.78;1105.87;1168.91;1218.66;1274.89;1274.19;1323.90;1344.32
"Absolutwert";"Leistung - Total";"Frau";"21-25 Jahre";1132.81;1142.09;1193.43;1239.47;1271.82;1290.19;1327.34;1355.74;1335.69;1376.46;1372.76
"Absolutwert";"Leistung - Total";"Frau";"26-30 Jahre";1487.54;1512.78;1540.99;1598.37;1660.06;1718.98;1804.46;1941.85;1954.63;1973.09;1938.77
"Absolutwert";"Leistung - Total";"Frau";"31-35 Jahre";1741.69;1780.78;1840.60;1912.70;2005.54;2095.47;2188.18;2329.06;2348.57;2376.38;2408.01
"Absolutwert";"Leistung - Total";"Frau";"36-40 Jahre";1867.32;1871.34;1776.29;1823.32;1874.53;1935.49;2047.26;2184.05;2186.67;2244.80;2225.36
"Absolutwert";"Leistung - Total";"Frau";"41-45 Jahre";2017.34;2012.73;1923.87;1953.33;1963.18;1987.45;2045.03;2155.00;2124.96;2177.26;2156.83
"Absolutwert";"Leistung - Total";"Frau";"46-50 Jahre";2147.91;2205.77;2188.44;2265.87;2313.89;2379.64;2435.12;2573.96;2497.02;2515.50;2393.51
"Absolutwert";"Leistung - Total";"Frau";"51-55 Jahre";2172.39;2225.26;2215.41;2362.70;2488.26;2628.84;2774.70;2996.29;2998.00;3039.96;2974.70
"Absolutwert";"Leistung - Total";"Frau";"56-60 Jahre";2147.04;2173.75;2330.48;2410.46;2497.45;2628.95;2779.40;2840.36;2904.31;3003.91;3038.65
"Absolutwert";"Leistung - Total";"Frau";"61-65 Jahre";2394.46;2418.08;2477.59;2523.14;2550.17;2623.53;2744.74;2790.69;2806.61;2891.33;2904.45
"Absolutwert";"Leistung - Total";"Frau";"66-70 Jahre";2434.92;2554.54;2802.59;2898.44;2967.72;3067.97;3157.56;3030.30;2988.85;3010.16;2967.98
"Absolutwert";"Leistung - Total";"Frau";"71-75 Jahre";2498.86;2524.33;2660.97;2809.12;2961.68;3153.92;3343.51;3439.38;3453.47;3547.41;3479.09
"Absolutwert";"Leistung - Total";"Frau";"76-80 Jahre";2918.86;2944.81;3128.10;3204.33;3268.79;3351.56;3480.18;3444.10;3523.46;3666.86;3742.88
"Absolutwert";"Leistung - Total";"Frau";"81-85 Jahre";3283.19;3356.45;3463.90;3506.82;3588.57;3680.57;3764.62;3795.52;3815.79;3869.60;3854.22
"Absolutwert";"Leistung - Total";"Frau";"86-90 Jahre";3137.01;3315.47;3414.89;3473.35;3546.10;3625.54;3714.61;3806.46;3862.58;3949.98;3966.56
"Absolutwert";"Leistung - Total";"Frau";"91-95 Jahre";1659.90;1871.35;2008.90;2192.83;2302.67;2428.53;2465.49;2534.50;2593.87;2674.68;2758.41
"Absolutwert";"Leistung - Total";"Frau";"96 und mehr Jahre";661.57;730.91;730.28;752.80;780.44;787.91;834.05;910.97;959.86;1027.61;1085.99
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"Altersklasse - Total";13373.44;13582.55;14176.31;14791.18;14947.37;15385.88;15758.00;15718.28;15547.74;15730.23;16223.16
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"0-5 Jahre";203.97;206.96;235.45;262.70;254.99;247.99;257.04;253.76;266.76;250.25;231.35
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"6-10 Jahre";85.08;84.72;95.94;101.55;97.76;95.46;102.94;99.53;95.52;96.79;93.34
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"11-15 Jahre";149.75;146.77;161.33;169.41;166.69;174.54;177.79;178.69;180.18;177.74;194.25
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"16-20 Jahre";289.82;286.91;303.37;289.76;302.04;320.24;338.66;341.26;318.54;344.11;362.01
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"21-25 Jahre";389.01;388.45;421.25;418.33;414.73;406.15;412.29;407.53;355.42;394.49;384.25
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"26-30 Jahre";561.66;563.82;593.20;595.42;594.94;617.17;636.60;640.44;589.77;620.15;623.22
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"31-35 Jahre";651.84;674.07;720.14;735.36;760.85;785.25;804.22;803.54;768.66;786.28;810.64
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"36-40 Jahre";633.04;621.26;642.27;649.34;656.41;667.67;706.14;695.22;670.20;698.44;714.32
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"41-45 Jahre";664.84;648.07;655.16;670.83;664.89;647.63;652.37;620.13;581.16;610.60;604.19
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"46-50 Jahre";756.27;770.28;817.44;836.89;836.22;839.09;830.23;804.48;735.09;746.93;730.16
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"51-55 Jahre";849.42;844.51;890.80;954.81;989.15;1011.95;1065.87;1042.47;989.65;999.50;1028.44
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"56-60 Jahre";952.50;957.06;1012.79;1069.99;1080.43;1112.83;1153.54;1162.71;1143.93;1168.40;1257.41
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"61-65 Jahre";1180.63;1180.89;1213.14;1263.91;1247.06;1250.51;1310.43;1298.27;1302.70;1309.29;1384.85
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"66-70 Jahre";1269.98;1346.41;1427.77;1494.13;1514.86;1541.07;1556.39;1510.15;1498.15;1469.10;1522.50
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"71-75 Jahre";1282.70;1301.06;1343.08;1457.43;1518.31;1619.21;1680.83;1700.86;1743.50;1752.16;1792.71
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"76-80 Jahre";1336.26;1356.87;1378.82;1432.42;1431.16;1491.86;1497.59;1532.17;1602.68;1603.43;1712.53
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"81-85 Jahre";1130.12;1161.67;1192.11;1253.17;1265.89;1326.49;1333.84;1331.61;1368.39;1343.06;1378.22
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"86-90 Jahre";704.55;738.62;750.90;782.46;790.48;833.15;845.09;871.43;902.85;912.01;932.42
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"91-95 Jahre";228.33;248.23;264.37;295.98;303.31;337.39;332.07;347.56;357.11;367.08;380.55
"Absolutwert";"Stationäre Kurativbehandlung";"Geschlecht - Total";"96 und mehr Jahre";53.66;55.90;56.99;57.31;57.20;60.23;64.05;76.46;77.47;80.43;85.81
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"Altersklasse - Total";6108.02;6225.49;6547.71;6949.34;7046.47;7315.16;7464.87;7479.23;7411.35;7539.99;7915.65
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"0-5 Jahre";115.86;117.68;134.50;150.98;141.18;138.89;146.50;145.16;150.44;138.35;130.89
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"6-10 Jahre";49.02;50.60;57.35;58.39;58.97;56.84;60.26;57.17;56.38;57.08;55.85
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"11-15 Jahre";71.71;70.32;79.65;83.91;81.31;84.08;79.99;85.29;85.19;81.16;87.08
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"16-20 Jahre";127.96;127.16;132.99;125.04;129.79;135.97;141.48;144.41;131.77;144.93;149.28
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"21-25 Jahre";136.07;142.15;161.33;162.27;163.16;161.71;164.88;166.77;133.65;160.79;156.52
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"26-30 Jahre";157.04;156.77;168.69;166.32;165.70;180.85;187.29;187.06;154.38;183.25;186.69
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"31-35 Jahre";158.88;163.69;184.03;195.24;199.59;201.78;206.37;204.95;180.82;204.77;215.17
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"36-40 Jahre";214.33;200.92;214.09;214.03;212.60;213.07;231.12;224.83;206.13;231.64;236.72
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"41-45 Jahre";297.34;284.07;282.67;291.70;292.63;288.14;280.86;267.75;248.21;267.40;263.56
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"46-50 Jahre";359.96;368.74;387.51;402.33;397.84;401.19;399.31;388.01;352.45;358.86;359.03
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"51-55 Jahre";433.25;432.47;451.58;485.21;509.75;521.27;552.41;546.27;519.72;517.51;542.23
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"56-60 Jahre";512.99;522.11;549.64;591.27;602.50;618.34;636.12;645.48;636.07;643.58;707.64
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"61-65 Jahre";658.26;649.85;676.11;711.40;711.94;711.30;744.69;740.96;748.68;750.03;812.44
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"66-70 Jahre";685.22;728.92;778.68;829.13;848.42;862.33;869.26;842.10;841.94;824.54;866.27
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"71-75 Jahre";661.00;672.22;697.49;774.66;810.31;877.04;904.46;925.95;959.04;958.34;1000.64
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"76-80 Jahre";640.32;655.67;676.44;711.19;710.87;763.96;750.32;770.54;826.16;826.06;903.22
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"81-85 Jahre";477.39;504.08;520.74;568.29;581.83;620.18;626.02;632.06;654.07;640.58;668.60
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"86-90 Jahre";261.83;279.95;290.47;309.18;307.62;344.69;345.52;360.12;378.31;393.89;409.64
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"91-95 Jahre";74.97;83.24;88.58;102.18;105.10;116.79;119.08;121.26;125.15;132.87;139.41
"Absolutwert";"Stationäre Kurativbehandlung";"Mann";"96 und mehr Jahre";14.62;14.89;15.17;16.61;15.35;16.73;18.96;23.12;22.79;24.35;24.77
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"Altersklasse - Total";7265.42;7357.06;7628.60;7841.84;7900.90;8070.72;8293.13;8239.06;8136.39;8190.24;8307.51
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"0-5 Jahre";88.11;89.28;100.95;111.72;113.82;109.10;110.55;108.60;116.32;111.89;100.46
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"6-10 Jahre";36.06;34.12;38.59;43.16;38.79;38.62;42.69;42.37;39.14;39.71;37.49
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"11-15 Jahre";78.04;76.45;81.69;85.50;85.38;90.46;97.80;93.40;94.99;96.58;107.17
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"16-20 Jahre";161.86;159.75;170.38;164.71;172.25;184.28;197.19;196.85;186.77;199.18;212.73
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"21-25 Jahre";252.94;246.30;259.92;256.05;251.56;244.44;247.40;240.77;221.77;233.69;227.73
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"26-30 Jahre";404.63;407.05;424.51;429.10;429.24;436.32;449.31;453.38;435.39;436.90;436.52
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"31-35 Jahre";492.96;510.39;536.11;540.11;561.26;583.47;597.86;598.59;587.85;581.51;595.48
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"36-40 Jahre";418.72;420.34;428.18;435.31;443.80;454.60;475.03;470.39;464.06;466.80;477.60
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"41-45 Jahre";367.50;364.01;372.49;379.13;372.26;359.49;371.50;352.38;332.95;343.20;340.63
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"46-50 Jahre";396.31;401.54;429.92;434.56;438.38;437.90;430.93;416.47;382.64;388.07;371.12
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"51-55 Jahre";416.16;412.04;439.21;469.60;479.41;490.68;513.46;496.20;469.94;481.98;486.21
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"56-60 Jahre";439.51;434.95;463.15;478.72;477.93;494.49;517.42;517.23;507.86;524.82;549.77
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"61-65 Jahre";522.38;531.05;537.03;552.51;535.11;539.21;565.73;557.32;554.02;559.26;572.41
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"66-70 Jahre";584.76;617.49;649.08;665.00;666.45;678.74;687.13;668.05;656.21;644.56;656.23
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"71-75 Jahre";621.70;628.84;645.60;682.77;708.00;742.17;776.37;774.91;784.46;793.82;792.06
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"76-80 Jahre";695.94;701.21;702.39;721.23;720.29;727.91;747.28;761.63;776.52;777.36;809.31
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"81-85 Jahre";652.73;657.60;671.37;684.87;684.06;706.30;707.82;699.55;714.33;702.47;709.62
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"86-90 Jahre";442.71;458.67;460.43;473.28;482.86;488.46;499.57;511.31;524.54;518.13;522.78
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"91-95 Jahre";153.36;164.99;175.79;193.79;198.21;220.60;212.99;226.30;231.95;234.21;241.14
"Absolutwert";"Stationäre Kurativbehandlung";"Frau";"96 und mehr Jahre";39.04;41.02;41.82;40.71;41.85;43.49;45.09;53.35;54.68;56.07;61.04
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"Altersklasse - Total";15808.31;16108.75;16924.49;17687.57;18680.79;19541.36;20436.38;21108.17;20753.48;21652.46;20177.76
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"0-5 Jahre";405.52;410.42;425.50;436.11;461.86;503.94;529.75;549.38;536.43;568.78;472.86
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"6-10 Jahre";254.48;259.94;272.60;285.40;308.98;332.53;357.67;363.66;357.45;378.02;326.74
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"11-15 Jahre";461.06;469.72;474.84;488.04;517.83;537.16;553.62;473.46;476.66;498.25;455.09
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"16-20 Jahre";797.81;803.13;811.98;826.76;866.82;906.87;936.44;1015.49;1026.27;1053.92;982.17
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"21-25 Jahre";684.23;689.92;722.21;747.81;785.28;804.13;837.60;824.64;816.46;840.65;788.61
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"26-30 Jahre";806.19;814.56;873.61;905.73;955.10;990.51;1029.12;1082.42;1077.04;1111.79;1043.64
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"31-35 Jahre";936.96;942.94;1002.31;1044.00;1102.09;1152.90;1201.53;1313.48;1305.26;1355.49;1282.60
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"36-40 Jahre";1137.16;1125.04;927.98;961.64;1005.13;1043.88;1098.00;1268.84;1258.78;1307.85;1233.24
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"41-45 Jahre";1216.50;1208.20;1035.41;1059.53;1090.76;1120.17;1144.29;1284.97;1262.72;1297.40;1211.16
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"46-50 Jahre";1195.83;1217.63;1118.20;1161.14;1211.17;1251.92;1284.50;1512.10;1470.19;1488.40;1370.19
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"51-55 Jahre";1265.00;1293.55;1174.95;1249.31;1338.97;1417.26;1500.48;1812.51;1774.79;1830.79;1697.42
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"56-60 Jahre";1193.45;1206.68;1387.50;1458.93;1547.26;1628.27;1721.87;1663.73;1650.42;1743.41;1653.99
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"61-65 Jahre";1267.14;1282.70;1422.16;1461.49;1524.74;1575.89;1643.21;1626.20;1601.35;1678.19;1593.25
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"66-70 Jahre";1158.03;1217.25;1531.47;1607.93;1686.29;1747.52;1823.48;1605.50;1548.27;1603.22;1484.36
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"71-75 Jahre";1047.23;1074.82;1243.39;1335.43;1441.95;1545.10;1643.45;1695.40;1652.32;1725.17;1599.29
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"76-80 Jahre";952.09;984.62;1240.20;1299.21;1373.79;1429.51;1506.12;1343.27;1329.31;1438.21;1376.27
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"81-85 Jahre";624.76;659.89;757.36;808.75;870.11;917.35;954.67;954.53;915.20;971.90;900.52
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"86-90 Jahre";300.39;326.72;365.00;396.28;423.15;451.62;477.78;504.67;486.66;530.36;491.03
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"91-95 Jahre";84.63;99.19;115.21;130.06;143.60;156.85;162.30;178.49;172.97;190.76;177.18
"Absolutwert";"Ambulante Kurativbehandlung";"Geschlecht - Total";"96 und mehr Jahre";19.83;21.83;22.61;24.03;25.87;27.98;30.49;35.44;34.92;39.90;38.16
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"Altersklasse - Total";6853.28;7003.07;7421.03;7770.04;8233.53;8617.19;9050.12;9216.41;9095.87;9496.69;8916.33
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"0-5 Jahre";222.32;224.02;232.15;238.88;253.51;274.69;290.49;299.65;292.74;310.91;258.52
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"6-10 Jahre";144.73;148.31;155.94;162.17;175.94;189.67;204.13;206.84;203.37;214.70;186.15
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"11-15 Jahre";241.59;246.27;242.90;249.36;264.63;274.05;281.76;255.16;255.47;268.61;242.91
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"16-20 Jahre";350.92;355.77;369.46;375.76;393.14;409.49;422.71;444.87;448.65;458.84;426.72
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"21-25 Jahre";278.26;281.98;295.46;306.38;321.13;328.89;346.69;319.70;319.76;329.16;307.87
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"26-30 Jahre";289.05;293.55;347.16;358.18;377.46;388.83;403.23;352.18;355.49;368.59;345.69
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"31-35 Jahre";346.91;347.67;391.59;405.82;425.34;441.14;457.47;464.13;466.65;484.57;459.08
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"36-40 Jahre";459.40;452.54;355.98;367.83;382.29;394.73;416.24;492.06;491.67;508.49;481.39
"Absolutwert";"Ambulante Kurativbehandlung";"Mann";"41-45 Jahre";501.54;496.57;419.41;429.75;445.25;455.44;465.64;490.44;483.15;492.83;464.03
