"Szenario-Variante";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Altersklasse";"Jahr";"Bevölkerungsstand am 31. Dezember"
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2057";10699559
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2058";10734212
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2059";10768470
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2060";10802459
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2061";10836083
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2062";10869538
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2063";10902968
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2064";10936328
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2065";10969733
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2066";11003294
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2067";11036939
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2068";11070788
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2069";11104657
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2070";11138554
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2019";440599
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2020";443265
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2021";445476
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2022";449377
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2023";454343
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2024";457582
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2025";460576
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2026";463292
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2027";465698
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2028";467800
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2029";469664
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2030";471339
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2031";472767
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2032";474009
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2033";475097
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2034";476073
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2035";476970
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2036";477837
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2037";478732
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2038";479728
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2039";480837
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2040";482066
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2041";483527
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2042";485212
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2043";487075
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2044";489094
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2045";491203
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2046";493367
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2047";495509
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2048";497611
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2049";499622
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2050";501525
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2051";503322
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2052";505058
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2053";506729
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2054";508394
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2055";510068
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2056";511743
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2057";513415
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2058";515064
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2059";516640
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2060";518129
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2061";519518
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2062";520797
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2063";521971
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2064";523046
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2065";524030
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2066";524954
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2067";525817
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2068";526657
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2069";527505
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"0-4 Jahre";"2070";528377
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2019";434959
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2020";438433
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2021";443680
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2022";446523
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2023";449107
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2024";451758
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2025";454406
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2026";456712
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2027";460639
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2028";465579
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2029";468999
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2030";472160
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2031";474931
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2032";477282
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2033";479207
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2034";480769
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2035";482033
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2036";483040
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2037";483848
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2038";484497
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2039";485039
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2040";485500
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2041";486024
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2042";486668
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2043";487512
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2044";488561
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2045";489839
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2046";491350
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2047";493093
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2048";495012
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2049";497075
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2050";499230
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2051";501438
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2052";503619
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2053";505750
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2054";507790
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2055";509723
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2056";511558
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2057";513317
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2058";515008
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2059";516687
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2060";518383
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2061";520077
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2062";521755
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2063";523407
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2064";524983
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2065";526475
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2066";527872
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2067";529171
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2068";530364
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2069";531457
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"5-9 Jahre";"2070";532466
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2019";422087
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2020";429695
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2021";435760
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2022";441684
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2023";445225
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2024";449942
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2025";453514
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2026";458724
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2027";461682
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2028";464460
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2029";467192
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2030";469901
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2031";472220
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2032";475988
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2033";480616
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2034";483722
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2035";486482
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2036";488847
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2037";490792
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2038";492313
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2039";493462
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2040";494306
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2041";494980
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2042";495536
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2043";496019
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2044";496486
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2045";496962
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2046";497504
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2047";498173
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2048";499043
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2049";500125
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2050";501439
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2051";502990
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2052";504763
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2053";506713
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2054";508804
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2055";510985
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2056";513208
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2057";515409
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2058";517555
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2059";519616
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2060";521558
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2061";523395
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2062";525163
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2063";526865
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2064";528553
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2065";530255
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2066";531945
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2067";533624
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2068";535274
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2069";536850
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"10-14 Jahre";"2070";538346
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2019";423513
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2020";421603
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2021";425571
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2022";430353
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2023";437575
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2024";443933
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2025";451389
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2026";457391
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2027";463319
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2028";466964
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2029";471726
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2030";475386
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2031";480430
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2032";483194
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2033";485674
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2034";487950
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2035";490116
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2036";491963
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2037";495162
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2038";499123
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2039";501708
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2040";503950
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2041";505915
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2042";507585
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"15-19 Jahre";"2043";508928
